zone_id,class_id,tipo_intervencion,area_m2,area_ha,volumen_m3,prioridad
6751,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6752,4,Retención / almacenamiento puntual,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6753,5,Manejo urbano,1095.4911180081676,0.10954911180081676,7.616698980301114,Baja
6754,5,Manejo urbano,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6755,5,Manejo urbano,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6756,1,Conservación hídrica,2190.982236051929,0.21909822360519288,15.233397960849702,Baja
6757,1,Conservación hídrica,1460.6548240108439,0.14606548240108438,10.155598640401164,Baja
6758,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6759,1,Conservación hídrica,365.16370600271097,0.036516370600271096,2.538899660100291,Baja
6760,1,Conservación hídrica,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6761,1,Conservación hídrica,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6762,4,Retención / almacenamiento puntual,730.3274120054567,0.07303274120054568,5.077799320200824,Baja
6763,4,Retención / almacenamiento puntual,1825.8185300491834,0.18258185300491833,12.69449830074917,Baja
6764,1,Conservación hídrica,1095.4911180081676,0.10954911180081676,7.616698980301114,Baja
6765,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6766,1,Conservación hídrica,365.1637060383395,0.036516370603833954,2.538899660348008,Baja
6767,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6768,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6769,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6770,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6771,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6772,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6773,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6774,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6775,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6776,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6777,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6778,5,Manejo urbano,1460.654824010983,0.1460654824010983,10.15559864040213,Baja
6779,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6780,5,Manejo urbano,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6781,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6782,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6783,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6784,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6785,1,Conservación hídrica,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
6786,4,Retención / almacenamiento puntual,4381.964472032741,0.43819644720327405,30.46679592120494,Baja
6787,1,Conservación hídrica,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6788,5,Manejo urbano,1095.4911180082024,0.10954911180082025,7.616698980301356,Baja
6789,4,Retención / almacenamiento puntual,1095.4911180082372,0.10954911180082372,7.616698980301598,Baja
6790,4,Retención / almacenamiento puntual,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6791,1,Conservación hídrica,730.3274120054915,0.07303274120054914,5.077799320201065,Baja
6792,4,Retención / almacenamiento puntual,365.16370600274576,0.03651637060027457,2.5388996601005327,Baja
